"feedback","sentiment"
"Enough naman yung explanation ng staff. For regular customer experience.","Neutral"
"The massage pressure was moderate. After work appointment.","Neutral"
"Room was okay but could be better. Visit note.","Neutral"
"The booking process was simple enough. Para sa MSME spa visit.","Neutral"
"Neutral ako sa overall experience. During weekend booking.","Neutral"
"Nothing special pero okay naman. Sa local spa namin.","Neutral"
"The service met expectations. For regular customer experience.","Neutral"
"Sakto lang yung tagal ng session. After work appointment.","Neutral"
"The front desk was direct and simple. Visit note.","Neutral"
"Puwede na for a quick spa visit. Para sa MSME spa visit.","Neutral"
"Average yung cleanliness ng towels. During weekend booking.","Neutral"
"The facial result was ordinary. Sa local spa namin.","Neutral"
"The package was fair. For regular customer experience.","Neutral"
"Mild lang yung improvement after service. After work appointment.","Neutral"
"The room temperature was acceptable. Visit note.","Neutral"
"Okay yung music pero ordinary. Para sa MSME spa visit.","Neutral"
"The staff did their job. During weekend booking.","Neutral"
"Decent naman yung experience. Sa local spa namin.","Neutral"
"The body scrub was basic. For regular customer experience.","Neutral"
"Hindi ako disappointed, sakto lang. After work appointment.","Neutral"
"The service was neither good nor bad. Visit note.","Neutral"
"Wala akong major complaint. Para sa MSME spa visit.","Neutral"
"The tea was okay. During weekend booking.","Neutral"
"The place was calm enough. Sa local spa namin.","Neutral"
"Mediocre pero usable yung service. For regular customer experience.","Neutral"
"The overall visit was just fine. After work appointment.","Neutral"
"Okay lang naman yung massage. Visit note.","Neutral"
"Average experience sa aromatherapy massage. Para sa MSME spa visit.","Neutral"
"Pwede na yung hot stone massage. During weekend booking.","Neutral"
"Sakto lang yung massage. Sa local spa namin.","Neutral"
"Normal lang ang service today. For regular customer experience.","Neutral"
"Fine naman pero nothing special. After work appointment.","Neutral"
"Medyo okay yung massage room. Visit note.","Neutral"
"Standard spa service lang. Para sa MSME spa visit.","Neutral"
"The experience was acceptable. During weekend booking.","Neutral"
"Hindi bad, hindi rin amazing. Sa local spa namin.","Neutral"
"Tama lang yung price for the service. For regular customer experience.","Neutral"
"Basic lang yung ambiance. After work appointment.","Neutral"
"The therapist was okay. Visit note.","Neutral"
"Waiting time was manageable. Para sa MSME spa visit.","Neutral"
"Enough naman yung explanation ng staff. During weekend booking.","Neutral"
"The massage pressure was moderate. Sa local spa namin.","Neutral"
"Room was okay but could be better. For regular customer experience.","Neutral"
"The booking process was simple enough. After work appointment.","Neutral"
"Neutral ako sa overall experience. Visit note.","Neutral"
"Nothing special pero okay naman. Para sa MSME spa visit.","Neutral"
"The service met expectations. During weekend booking.","Neutral"
"Sakto lang yung tagal ng session. Sa local spa namin.","Neutral"
"The front desk was direct and simple. For regular customer experience.","Neutral"
"Puwede na for a quick spa visit. After work appointment.","Neutral"
"Average yung cleanliness ng towels. Visit note.","Neutral"
"The facial result was ordinary. Para sa MSME spa visit.","Neutral"
"The package was fair. During weekend booking.","Neutral"
"Mild lang yung improvement after service. Sa local spa namin.","Neutral"
"The room temperature was acceptable. For regular customer experience.","Neutral"
"Okay yung music pero ordinary. After work appointment.","Neutral"
"The staff did their job. Visit note.","Neutral"
"Decent naman yung experience. Para sa MSME spa visit.","Neutral"
"The body scrub was basic. During weekend booking.","Neutral"
"Hindi ako disappointed, sakto lang. Sa local spa namin.","Neutral"
"The service was neither good nor bad. For regular customer experience.","Neutral"
"Wala akong major complaint. After work appointment.","Neutral"
"The tea was okay. Visit note.","Neutral"
"The place was calm enough. Para sa MSME spa visit.","Neutral"
"Mediocre pero usable yung service. During weekend booking.","Neutral"
"The overall visit was just fine. Sa local spa namin.","Neutral"
"Okay lang naman yung massage. For regular customer experience.","Neutral"
"Average experience sa aromatherapy massage. After work appointment.","Neutral"
"Pwede na yung hot stone massage. Visit note.","Neutral"
"Sakto lang yung massage. Para sa MSME spa visit.","Neutral"
"Normal lang ang service today. During weekend booking.","Neutral"
"Fine naman pero nothing special. Sa local spa namin.","Neutral"
"Medyo okay yung massage room. For regular customer experience.","Neutral"
"Standard spa service lang. After work appointment.","Neutral"
"The experience was acceptable. Visit note.","Neutral"
"Hindi bad, hindi rin amazing. Para sa MSME spa visit.","Neutral"
"Tama lang yung price for the service. During weekend booking.","Neutral"
"Basic lang yung ambiance. Sa local spa namin.","Neutral"
"The therapist was okay. For regular customer experience.","Neutral"
"Waiting time was manageable. After work appointment.","Neutral"
"Enough naman yung explanation ng staff. Visit note.","Neutral"
"The massage pressure was moderate. Para sa MSME spa visit.","Neutral"
"Room was okay but could be better. During weekend booking.","Neutral"
"The booking process was simple enough. Sa local spa namin.","Neutral"
"Neutral ako sa overall experience. For regular customer experience.","Neutral"
"Nothing special pero okay naman. After work appointment.","Neutral"
"The service met expectations. Visit note.","Neutral"
"Sakto lang yung tagal ng session. Para sa MSME spa visit.","Neutral"
"The front desk was direct and simple. During weekend booking.","Neutral"
"Puwede na for a quick spa visit. Sa local spa namin.","Neutral"
"Average yung cleanliness ng towels. For regular customer experience.","Neutral"
"The facial result was ordinary. After work appointment.","Neutral"
"The package was fair. Visit note.","Neutral"
"Mild lang yung improvement after service. Para sa MSME spa visit.","Neutral"
"The room temperature was acceptable. During weekend booking.","Neutral"
"Okay yung music pero ordinary. Sa local spa namin.","Neutral"
"The staff did their job. For regular customer experience.","Neutral"
"Decent naman yung experience. After work appointment.","Neutral"
"The body scrub was basic. Visit note.","Neutral"
"Hindi ako disappointed, sakto lang. Para sa MSME spa visit.","Neutral"
"The service was neither good nor bad. During weekend booking.","Neutral"
"Wala akong major complaint. Sa local spa namin.","Neutral"
"The tea was okay. For regular customer experience.","Neutral"
"The place was calm enough. After work appointment.","Neutral"
"Mediocre pero usable yung service. Visit note.","Neutral"
"The overall visit was just fine. Para sa MSME spa visit.","Neutral"
"Okay lang naman yung massage. During weekend booking.","Neutral"
"Average experience sa aromatherapy massage. Sa local spa namin.","Neutral"
"Pwede na yung hot stone massage. For regular customer experience.","Neutral"
"Sakto lang yung massage. After work appointment.","Neutral"
"Normal lang ang service today. Visit note.","Neutral"
"Fine naman pero nothing special. Para sa MSME spa visit.","Neutral"
"Medyo okay yung massage room. During weekend booking.","Neutral"
"Standard spa service lang. Sa local spa namin.","Neutral"
"The experience was acceptable. For regular customer experience.","Neutral"
"Hindi bad, hindi rin amazing. After work appointment.","Neutral"
"Tama lang yung price for the service. Visit note.","Neutral"
"Basic lang yung ambiance. Para sa MSME spa visit.","Neutral"
"The therapist was okay. During weekend booking.","Neutral"
"Waiting time was manageable. Sa local spa namin.","Neutral"
"Enough naman yung explanation ng staff. For regular customer experience.","Neutral"
"The massage pressure was moderate. After work appointment.","Neutral"
"Room was okay but could be better. Visit note.","Neutral"
"The booking process was simple enough. Para sa MSME spa visit.","Neutral"
"Neutral ako sa overall experience. During weekend booking.","Neutral"
"Nothing special pero okay naman. Sa local spa namin.","Neutral"
"The service met expectations. For regular customer experience.","Neutral"
"Sakto lang yung tagal ng session. After work appointment.","Neutral"
"The front desk was direct and simple. Visit note.","Neutral"
"Puwede na for a quick spa visit. Para sa MSME spa visit.","Neutral"
"Average yung cleanliness ng towels. During weekend booking.","Neutral"
"The facial result was ordinary. Sa local spa namin.","Neutral"
"The package was fair. For regular customer experience.","Neutral"
"Mild lang yung improvement after service. After work appointment.","Neutral"
"The room temperature was acceptable. Visit note.","Neutral"
"Okay yung music pero ordinary. Para sa MSME spa visit.","Neutral"
"The staff did their job. During weekend booking.","Neutral"
"Decent naman yung experience. Sa local spa namin.","Neutral"
"The body scrub was basic. For regular customer experience.","Neutral"
"Hindi ako disappointed, sakto lang. After work appointment.","Neutral"
"The service was neither good nor bad. Visit note.","Neutral"
"Wala akong major complaint. Para sa MSME spa visit.","Neutral"
"The tea was okay. During weekend booking.","Neutral"
"The place was calm enough. Sa local spa namin.","Neutral"
"Mediocre pero usable yung service. For regular customer experience.","Neutral"
"The overall visit was just fine. After work appointment.","Neutral"
"Okay lang naman yung massage. Visit note.","Neutral"
"Average experience sa aromatherapy massage. Para sa MSME spa visit.","Neutral"
"Pwede na yung hot stone massage. During weekend booking.","Neutral"
"Sakto lang yung massage. Sa local spa namin.","Neutral"
"Normal lang ang service today. For regular customer experience.","Neutral"
"Fine naman pero nothing special. After work appointment.","Neutral"
"Medyo okay yung massage room. Visit note.","Neutral"
"Standard spa service lang. Para sa MSME spa visit.","Neutral"
"The experience was acceptable. During weekend booking.","Neutral"
"Hindi bad, hindi rin amazing. Sa local spa namin.","Neutral"
"Tama lang yung price for the service. For regular customer experience.","Neutral"
"Basic lang yung ambiance. After work appointment.","Neutral"
"The therapist was okay. Visit note.","Neutral"
"Waiting time was manageable. Para sa MSME spa visit.","Neutral"
"Enough naman yung explanation ng staff. During weekend booking.","Neutral"
"The massage pressure was moderate. Sa local spa namin.","Neutral"
"Room was okay but could be better. For regular customer experience.","Neutral"
"The booking process was simple enough. After work appointment.","Neutral"
"Neutral ako sa overall experience. Visit note.","Neutral"
"Nothing special pero okay naman. Para sa MSME spa visit.","Neutral"
"The service met expectations. During weekend booking.","Neutral"
"Sakto lang yung tagal ng session. Sa local spa namin.","Neutral"
"The front desk was direct and simple. For regular customer experience.","Neutral"
"Puwede na for a quick spa visit. After work appointment.","Neutral"
"Average yung cleanliness ng towels. Visit note.","Neutral"
"The facial result was ordinary. Para sa MSME spa visit.","Neutral"
"The package was fair. During weekend booking.","Neutral"
"Mild lang yung improvement after service. Sa local spa namin.","Neutral"
"The room temperature was acceptable. For regular customer experience.","Neutral"
"Okay yung music pero ordinary. After work appointment.","Neutral"
"The staff did their job. Visit note.","Neutral"
"Decent naman yung experience. Para sa MSME spa visit.","Neutral"
"The body scrub was basic. During weekend booking.","Neutral"
"Hindi ako disappointed, sakto lang. Sa local spa namin.","Neutral"
"The service was neither good nor bad. For regular customer experience.","Neutral"
"Wala akong major complaint. After work appointment.","Neutral"
"The tea was okay. Visit note.","Neutral"
"The place was calm enough. Para sa MSME spa visit.","Neutral"
"Mediocre pero usable yung service. During weekend booking.","Neutral"
"The overall visit was just fine. Sa local spa namin.","Neutral"
"Okay lang naman yung massage. For regular customer experience.","Neutral"
"Average experience sa aromatherapy massage. After work appointment.","Neutral"
"Pwede na yung hot stone massage. Visit note.","Neutral"
"Sakto lang yung massage. Para sa MSME spa visit.","Neutral"
"Normal lang ang service today. During weekend booking.","Neutral"
"Fine naman pero nothing special. Sa local spa namin.","Neutral"
"Medyo okay yung massage room. For regular customer experience.","Neutral"
"Standard spa service lang. After work appointment.","Neutral"
"The experience was acceptable. Visit note.","Neutral"
"Hindi bad, hindi rin amazing. Para sa MSME spa visit.","Neutral"
"Tama lang yung price for the service. During weekend booking.","Neutral"
"Basic lang yung ambiance. Sa local spa namin.","Neutral"
"The therapist was okay. For regular customer experience.","Neutral"
"Waiting time was manageable. After work appointment.","Neutral"
"Enough naman yung explanation ng staff. Visit note.","Neutral"
"The massage pressure was moderate. Para sa MSME spa visit.","Neutral"
"Room was okay but could be better. During weekend booking.","Neutral"
"The booking process was simple enough. Sa local spa namin.","Neutral"
"Neutral ako sa overall experience. For regular customer experience.","Neutral"
"Nothing special pero okay naman. After work appointment.","Neutral"
"The service met expectations. Visit note.","Neutral"
"Sakto lang yung tagal ng session. Para sa MSME spa visit.","Neutral"
"The front desk was direct and simple. During weekend booking.","Neutral"
"Puwede na for a quick spa visit. Sa local spa namin.","Neutral"
"Average yung cleanliness ng towels. For regular customer experience.","Neutral"
"The facial result was ordinary. After work appointment.","Neutral"
"The package was fair. Visit note.","Neutral"
"Mild lang yung improvement after service. Para sa MSME spa visit.","Neutral"
"The room temperature was acceptable. During weekend booking.","Neutral"
"Okay yung music pero ordinary. Sa local spa namin.","Neutral"
"The staff did their job. For regular customer experience.","Neutral"
"Decent naman yung experience. After work appointment.","Neutral"
"The body scrub was basic. Visit note.","Neutral"
"Hindi ako disappointed, sakto lang. Para sa MSME spa visit.","Neutral"
"The service was neither good nor bad. During weekend booking.","Neutral"
"Wala akong major complaint. Sa local spa namin.","Neutral"
"The tea was okay. For regular customer experience.","Neutral"
"The place was calm enough. After work appointment.","Neutral"
"Mediocre pero usable yung service. Visit note.","Neutral"
"The overall visit was just fine. Para sa MSME spa visit.","Neutral"
"Okay lang naman yung massage. During weekend booking.","Neutral"
"Average experience sa aromatherapy massage. Sa local spa namin.","Neutral"
"Pwede na yung hot stone massage. For regular customer experience.","Neutral"
"Sakto lang yung massage. After work appointment.","Neutral"
"Normal lang ang service today. Visit note.","Neutral"
"Fine naman pero nothing special. Para sa MSME spa visit.","Neutral"
"Medyo okay yung massage room. During weekend booking.","Neutral"
"Standard spa service lang. Sa local spa namin.","Neutral"
"The experience was acceptable. For regular customer experience.","Neutral"
"Hindi bad, hindi rin amazing. After work appointment.","Neutral"
"Tama lang yung price for the service. Visit note.","Neutral"
"Basic lang yung ambiance. Para sa MSME spa visit.","Neutral"
"The therapist was okay. During weekend booking.","Neutral"
"Waiting time was manageable. Sa local spa namin.","Neutral"
"Enough naman yung explanation ng staff. For regular customer experience.","Neutral"
"The massage pressure was moderate. After work appointment.","Neutral"
"Room was okay but could be better. Visit note.","Neutral"
"The booking process was simple enough. Para sa MSME spa visit.","Neutral"
"Neutral ako sa overall experience. During weekend booking.","Neutral"
"Nothing special pero okay naman. Sa local spa namin.","Neutral"
"The service met expectations. For regular customer experience.","Neutral"
"Sakto lang yung tagal ng session. After work appointment.","Neutral"
"The front desk was direct and simple. Visit note.","Neutral"
"Puwede na for a quick spa visit. Para sa MSME spa visit.","Neutral"
"Average yung cleanliness ng towels. During weekend booking.","Neutral"
"The facial result was ordinary. Sa local spa namin.","Neutral"
"The package was fair. For regular customer experience.","Neutral"
"Mild lang yung improvement after service. After work appointment.","Neutral"
"The room temperature was acceptable. Visit note.","Neutral"
"Okay yung music pero ordinary. Para sa MSME spa visit.","Neutral"
"The staff did their job. During weekend booking.","Neutral"
"Decent naman yung experience. Sa local spa namin.","Neutral"
"The body scrub was basic. For regular customer experience.","Neutral"
"Hindi ako disappointed, sakto lang. After work appointment.","Neutral"
"The service was neither good nor bad. Visit note.","Neutral"
"Wala akong major complaint. Para sa MSME spa visit.","Neutral"
"The tea was okay. During weekend booking.","Neutral"
"The place was calm enough. Sa local spa namin.","Neutral"
"Mediocre pero usable yung service. For regular customer experience.","Neutral"
"The overall visit was just fine. After work appointment.","Neutral"
"Okay lang naman yung massage. Visit note.","Neutral"
"Average experience sa aromatherapy massage. Para sa MSME spa visit.","Neutral"
"Pwede na yung hot stone massage. During weekend booking.","Neutral"
"Sakto lang yung massage. Sa local spa namin.","Neutral"
"Normal lang ang service today. For regular customer experience.","Neutral"
"Fine naman pero nothing special. After work appointment.","Neutral"
"Medyo okay yung massage room. Visit note.","Neutral"
"Standard spa service lang. Para sa MSME spa visit.","Neutral"
"The experience was acceptable. During weekend booking.","Neutral"
"Hindi bad, hindi rin amazing. Sa local spa namin.","Neutral"
"Tama lang yung price for the service. For regular customer experience.","Neutral"
"Basic lang yung ambiance. After work appointment.","Neutral"
"The therapist was okay. Visit note.","Neutral"
"Waiting time was manageable. Para sa MSME spa visit.","Neutral"
"Enough naman yung explanation ng staff. During weekend booking.","Neutral"
"The massage pressure was moderate. Sa local spa namin.","Neutral"
"Room was okay but could be better. For regular customer experience.","Neutral"
"The booking process was simple enough. After work appointment.","Neutral"
"Neutral ako sa overall experience. Visit note.","Neutral"
"Nothing special pero okay naman. Para sa MSME spa visit.","Neutral"
"The service met expectations. During weekend booking.","Neutral"
"Sakto lang yung tagal ng session. Sa local spa namin.","Neutral"
"The front desk was direct and simple. For regular customer experience.","Neutral"
"Puwede na for a quick spa visit. After work appointment.","Neutral"
"Average yung cleanliness ng towels. Visit note.","Neutral"
"The facial result was ordinary. Para sa MSME spa visit.","Neutral"
"The package was fair. During weekend booking.","Neutral"
"Mild lang yung improvement after service. Sa local spa namin.","Neutral"
"The room temperature was acceptable. For regular customer experience.","Neutral"
"Okay yung music pero ordinary. After work appointment.","Neutral"
"The staff did their job. Visit note.","Neutral"
"Decent naman yung experience. Para sa MSME spa visit.","Neutral"
"The body scrub was basic. During weekend booking.","Neutral"
"Hindi ako disappointed, sakto lang. Sa local spa namin.","Neutral"
"The service was neither good nor bad. For regular customer experience.","Neutral"
"Wala akong major complaint. After work appointment.","Neutral"
"The tea was okay. Visit note.","Neutral"
"The place was calm enough. Para sa MSME spa visit.","Neutral"
"Mediocre pero usable yung service. During weekend booking.","Neutral"
"The overall visit was just fine. Sa local spa namin.","Neutral"
"Matagal bago kami naasikaso sa massage.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage.","Negative"
"Di ako satisfied sa service.","Negative"
"Mainit yung spa room.","Negative"
"Masakit yung massage and rushed ang staff.","Negative"
"Ang tagal ng waiting time.","Negative"
"Maingay sa room habang massage.","Negative"
"Hindi malinis yung towel.","Negative"
"Mahal pero bitin yung service.","Negative"
"The therapist was not attentive.","Negative"
"Hindi relaxing ang experience.","Negative"
"Rude yung receptionist sa front desk.","Negative"
"The room smelled bad.","Negative"
"Late nag start yung appointment.","Negative"
"Hindi nasunod yung requested pressure.","Negative"
"The staff ignored my concern.","Negative"
"Sobrang lamig ng room and uncomfortable.","Negative"
"The massage felt rushed and careless.","Negative"
"Walang proper explanation before treatment.","Negative"
"Disappointed ako sa facial result.","Negative"
"Dirty yung linens and towel.","Negative"
"Too expensive for the quality.","Negative"
"Hindi sulit yung package.","Negative"
"The booking was confusing.","Negative"
"I waited too long before the therapist arrived.","Negative"
"The room was noisy and not relaxing.","Negative"
"The staff seemed impatient.","Negative"
"Walang apology sa delay.","Negative"
"The service was poor and stressful.","Negative"
"Hindi ko nagustuhan yung ambiance.","Negative"
"The therapist used too much pressure.","Negative"
"Bitin yung session and parang minadali.","Negative"
"The front desk was disorganized.","Negative"
"Hindi fresh yung towels.","Negative"
"The body scrub irritated my skin.","Negative"
"The massage did not help my pain.","Negative"
"Sobra ang waiting time kahit may booking.","Negative"
"The staff were not friendly.","Negative"
"Ayaw kong bumalik after this visit.","Negative"
"Bad experience sa spa today.","Negative"
"Matagal bago kami naasikaso sa massage. For regular customer experience.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. After work appointment.","Negative"
"Di ako satisfied sa service. Visit note.","Negative"
"Mainit yung spa room. Para sa MSME spa visit.","Negative"
"Masakit yung massage and rushed ang staff. During weekend booking.","Negative"
"Ang tagal ng waiting time. Sa local spa namin.","Negative"
"Maingay sa room habang massage. For regular customer experience.","Negative"
"Hindi malinis yung towel. After work appointment.","Negative"
"Mahal pero bitin yung service. Visit note.","Negative"
"The therapist was not attentive. Para sa MSME spa visit.","Negative"
"Hindi relaxing ang experience. During weekend booking.","Negative"
"Rude yung receptionist sa front desk. Sa local spa namin.","Negative"
"The room smelled bad. For regular customer experience.","Negative"
"Late nag start yung appointment. After work appointment.","Negative"
"Hindi nasunod yung requested pressure. Visit note.","Negative"
"The staff ignored my concern. Para sa MSME spa visit.","Negative"
"Sobrang lamig ng room and uncomfortable. During weekend booking.","Negative"
"The massage felt rushed and careless. Sa local spa namin.","Negative"
"Walang proper explanation before treatment. For regular customer experience.","Negative"
"Disappointed ako sa facial result. After work appointment.","Negative"
"Dirty yung linens and towel. Visit note.","Negative"
"Too expensive for the quality. Para sa MSME spa visit.","Negative"
"Hindi sulit yung package. During weekend booking.","Negative"
"The booking was confusing. Sa local spa namin.","Negative"
"I waited too long before the therapist arrived. For regular customer experience.","Negative"
"The room was noisy and not relaxing. After work appointment.","Negative"
"The staff seemed impatient. Visit note.","Negative"
"Walang apology sa delay. Para sa MSME spa visit.","Negative"
"The service was poor and stressful. During weekend booking.","Negative"
"Hindi ko nagustuhan yung ambiance. Sa local spa namin.","Negative"
"The therapist used too much pressure. For regular customer experience.","Negative"
"Bitin yung session and parang minadali. After work appointment.","Negative"
"The front desk was disorganized. Visit note.","Negative"
"Hindi fresh yung towels. Para sa MSME spa visit.","Negative"
"The body scrub irritated my skin. During weekend booking.","Negative"
"The massage did not help my pain. Sa local spa namin.","Negative"
"Sobra ang waiting time kahit may booking. For regular customer experience.","Negative"
"The staff were not friendly. After work appointment.","Negative"
"Ayaw kong bumalik after this visit. Visit note.","Negative"
"Bad experience sa spa today. Para sa MSME spa visit.","Negative"
"Matagal bago kami naasikaso sa massage. During weekend booking.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. Sa local spa namin.","Negative"
"Di ako satisfied sa service. For regular customer experience.","Negative"
"Mainit yung spa room. After work appointment.","Negative"
"Masakit yung massage and rushed ang staff. Visit note.","Negative"
"Ang tagal ng waiting time. Para sa MSME spa visit.","Negative"
"Maingay sa room habang massage. During weekend booking.","Negative"
"Hindi malinis yung towel. Sa local spa namin.","Negative"
"Mahal pero bitin yung service. For regular customer experience.","Negative"
"The therapist was not attentive. After work appointment.","Negative"
"Hindi relaxing ang experience. Visit note.","Negative"
"Rude yung receptionist sa front desk. Para sa MSME spa visit.","Negative"
"The room smelled bad. During weekend booking.","Negative"
"Late nag start yung appointment. Sa local spa namin.","Negative"
"Hindi nasunod yung requested pressure. For regular customer experience.","Negative"
"The staff ignored my concern. After work appointment.","Negative"
"Sobrang lamig ng room and uncomfortable. Visit note.","Negative"
"The massage felt rushed and careless. Para sa MSME spa visit.","Negative"
"Walang proper explanation before treatment. During weekend booking.","Negative"
"Disappointed ako sa facial result. Sa local spa namin.","Negative"
"Dirty yung linens and towel. For regular customer experience.","Negative"
"Too expensive for the quality. After work appointment.","Negative"
"Hindi sulit yung package. Visit note.","Negative"
"The booking was confusing. Para sa MSME spa visit.","Negative"
"I waited too long before the therapist arrived. During weekend booking.","Negative"
"The room was noisy and not relaxing. Sa local spa namin.","Negative"
"The staff seemed impatient. For regular customer experience.","Negative"
"Walang apology sa delay. After work appointment.","Negative"
"The service was poor and stressful. Visit note.","Negative"
"Hindi ko nagustuhan yung ambiance. Para sa MSME spa visit.","Negative"
"The therapist used too much pressure. During weekend booking.","Negative"
"Bitin yung session and parang minadali. Sa local spa namin.","Negative"
"The front desk was disorganized. For regular customer experience.","Negative"
"Hindi fresh yung towels. After work appointment.","Negative"
"The body scrub irritated my skin. Visit note.","Negative"
"The massage did not help my pain. Para sa MSME spa visit.","Negative"
"Sobra ang waiting time kahit may booking. During weekend booking.","Negative"
"The staff were not friendly. Sa local spa namin.","Negative"
"Ayaw kong bumalik after this visit. For regular customer experience.","Negative"
"Bad experience sa spa today. After work appointment.","Negative"
"Matagal bago kami naasikaso sa massage. Visit note.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. Para sa MSME spa visit.","Negative"
"Di ako satisfied sa service. During weekend booking.","Negative"
"Mainit yung spa room. Sa local spa namin.","Negative"
"Masakit yung massage and rushed ang staff. For regular customer experience.","Negative"
"Ang tagal ng waiting time. After work appointment.","Negative"
"Maingay sa room habang massage. Visit note.","Negative"
"Hindi malinis yung towel. Para sa MSME spa visit.","Negative"
"Mahal pero bitin yung service. During weekend booking.","Negative"
"The therapist was not attentive. Sa local spa namin.","Negative"
"Hindi relaxing ang experience. For regular customer experience.","Negative"
"Rude yung receptionist sa front desk. After work appointment.","Negative"
"The room smelled bad. Visit note.","Negative"
"Late nag start yung appointment. Para sa MSME spa visit.","Negative"
"Hindi nasunod yung requested pressure. During weekend booking.","Negative"
"The staff ignored my concern. Sa local spa namin.","Negative"
"Sobrang lamig ng room and uncomfortable. For regular customer experience.","Negative"
"The massage felt rushed and careless. After work appointment.","Negative"
"Walang proper explanation before treatment. Visit note.","Negative"
"Disappointed ako sa facial result. Para sa MSME spa visit.","Negative"
"Dirty yung linens and towel. During weekend booking.","Negative"
"Too expensive for the quality. Sa local spa namin.","Negative"
"Hindi sulit yung package. For regular customer experience.","Negative"
"The booking was confusing. After work appointment.","Negative"
"I waited too long before the therapist arrived. Visit note.","Negative"
"The room was noisy and not relaxing. Para sa MSME spa visit.","Negative"
"The staff seemed impatient. During weekend booking.","Negative"
"Walang apology sa delay. Sa local spa namin.","Negative"
"The service was poor and stressful. For regular customer experience.","Negative"
"Hindi ko nagustuhan yung ambiance. After work appointment.","Negative"
"The therapist used too much pressure. Visit note.","Negative"
"Bitin yung session and parang minadali. Para sa MSME spa visit.","Negative"
"The front desk was disorganized. During weekend booking.","Negative"
"Hindi fresh yung towels. Sa local spa namin.","Negative"
"The body scrub irritated my skin. For regular customer experience.","Negative"
"The massage did not help my pain. After work appointment.","Negative"
"Sobra ang waiting time kahit may booking. Visit note.","Negative"
"The staff were not friendly. Para sa MSME spa visit.","Negative"
"Ayaw kong bumalik after this visit. During weekend booking.","Negative"
"Bad experience sa spa today. Sa local spa namin.","Negative"
"Matagal bago kami naasikaso sa massage. For regular customer experience.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. After work appointment.","Negative"
"Di ako satisfied sa service. Visit note.","Negative"
"Mainit yung spa room. Para sa MSME spa visit.","Negative"
"Masakit yung massage and rushed ang staff. During weekend booking.","Negative"
"Ang tagal ng waiting time. Sa local spa namin.","Negative"
"Maingay sa room habang massage. For regular customer experience.","Negative"
"Hindi malinis yung towel. After work appointment.","Negative"
"Mahal pero bitin yung service. Visit note.","Negative"
"The therapist was not attentive. Para sa MSME spa visit.","Negative"
"Hindi relaxing ang experience. During weekend booking.","Negative"
"Rude yung receptionist sa front desk. Sa local spa namin.","Negative"
"The room smelled bad. For regular customer experience.","Negative"
"Late nag start yung appointment. After work appointment.","Negative"
"Hindi nasunod yung requested pressure. Visit note.","Negative"
"The staff ignored my concern. Para sa MSME spa visit.","Negative"
"Sobrang lamig ng room and uncomfortable. During weekend booking.","Negative"
"The massage felt rushed and careless. Sa local spa namin.","Negative"
"Walang proper explanation before treatment. For regular customer experience.","Negative"
"Disappointed ako sa facial result. After work appointment.","Negative"
"Dirty yung linens and towel. Visit note.","Negative"
"Too expensive for the quality. Para sa MSME spa visit.","Negative"
"Hindi sulit yung package. During weekend booking.","Negative"
"The booking was confusing. Sa local spa namin.","Negative"
"I waited too long before the therapist arrived. For regular customer experience.","Negative"
"The room was noisy and not relaxing. After work appointment.","Negative"
"The staff seemed impatient. Visit note.","Negative"
"Walang apology sa delay. Para sa MSME spa visit.","Negative"
"The service was poor and stressful. During weekend booking.","Negative"
"Hindi ko nagustuhan yung ambiance. Sa local spa namin.","Negative"
"The therapist used too much pressure. For regular customer experience.","Negative"
"Bitin yung session and parang minadali. After work appointment.","Negative"
"The front desk was disorganized. Visit note.","Negative"
"Hindi fresh yung towels. Para sa MSME spa visit.","Negative"
"The body scrub irritated my skin. During weekend booking.","Negative"
"The massage did not help my pain. Sa local spa namin.","Negative"
"Sobra ang waiting time kahit may booking. For regular customer experience.","Negative"
"The staff were not friendly. After work appointment.","Negative"
"Ayaw kong bumalik after this visit. Visit note.","Negative"
"Bad experience sa spa today. Para sa MSME spa visit.","Negative"
"Matagal bago kami naasikaso sa massage. During weekend booking.","Negative"
"Hindi worth it yung presyo ng aromatherapy massage. Sa local spa namin.","Negative"
"Di ako satisfied sa service. For regular customer experience.","Negative"
"Mainit yung spa room. After work appointment.","Negative"
"Masakit yung massage and rushed ang staff. Visit note.","Negative"
"Ang tagal ng waiting time. Para sa MSME spa visit.","Negative"
"Maingay sa room habang massage. During weekend booking.","Negative"
"Hindi malinis yung towel. Sa local spa namin.","Negative"
"Mahal pero bitin yung service. For regular customer experience.","Negative"
"The therapist was not attentive. After work appointment.","Negative"
"Hindi relaxing ang experience. Visit note.","Negative"
"Rude yung receptionist sa front desk. Para sa MSME spa visit.","Negative"
"The room smelled bad. During weekend booking.","Negative"
"Late nag start yung appointment. Sa local spa namin.","Negative"
"Hindi nasunod yung requested pressure. For regular customer experience.","Negative"
"The staff ignored my concern. After work appointment.","Negative"
"Sobrang lamig ng room and uncomfortable. Visit note.","Negative"
"The massage felt rushed and careless. Para sa MSME spa visit.","Negative"
